SR-CODE,NAME,Semester,Course,ILO1,ILO2,ILO3,ILO4
22-63769,Valentina Aquino,1,Introduction to Engineering,67.4,81.6,69.3,65.8
22-63769,Valentina Aquino,1,Understanding the Self,72.0,72.1,75.5,67.8
22-63769,Valentina Aquino,1,Mathematics in the Modern World,82.0,79.8,82.4,68.4
22-63769,Valentina Aquino,1,Readings in Philippine History,69.5,82.4,70.9,75.7
22-63769,Valentina Aquino,1,Purposive Communication,80.7,75.2,75.0,80.7
22-63769,Valentina Aquino,1,Differential Calculus,92.5,78.0,75.4,76.9
22-63769,Valentina Aquino,1,General Chemistry,75.0,79.6,74.3,72.3
22-63769,Valentina Aquino,1,Computer Programming 1,72.5,65.6,60.0,61.5
22-63769,Valentina Aquino,2,Engineering Drawing,74.9,73.5,83.8,74.9
22-63769,Valentina Aquino,2,Contemporary World,72.6,78.1,70.4,67.3
22-63769,Valentina Aquino,2,Art Appreciation,79.5,79.7,70.9,75.4
22-63769,Valentina Aquino,2,"Science, Technology and Society",71.5,76.1,88.5,70.3
22-63769,Valentina Aquino,2,Integral Calculus,88.6,78.2,77.9,70.1
22-63769,Valentina Aquino,2,Physics 1,79.0,73.0,77.0,65.3
22-63769,Valentina Aquino,3,Life and Works of Rizal,82.4,82.5,75.1,67.3
22-63769,Valentina Aquino,3,Ethics,81.1,74.2,78.5,60.0
22-63769,Valentina Aquino,3,Modern Biology,78.0,65.7,65.5,78.6
22-63769,Valentina Aquino,3,Computer Engineering as a Discipline,83.7,71.7,63.9,60.0
22-63769,Valentina Aquino,3,Programming Logic and Design,74.2,89.7,74.7,64.8
22-63769,Valentina Aquino,3,Discrete Mathematics,82.8,68.3,72.6,71.0
22-63769,Valentina Aquino,3,Fundamentals of Electrical Engineering,77.1,80.0,74.3,72.3
22-63769,Valentina Aquino,3,Computer-Aided Design,73.5,80.7,82.0,62.5
22-63769,Valentina Aquino,4,Engineering Economics,73.0,84.0,71.7,77.4
22-63769,Valentina Aquino,4,Engineering Data Analysis,77.4,86.4,75.2,72.0
22-63769,Valentina Aquino,4,Differential Equations,89.4,75.5,68.8,67.7
22-63769,Valentina Aquino,4,Object Oriented Programming,80.2,65.8,75.9,64.9
22-63769,Valentina Aquino,4,Advanced Engineering Mathematics for CpE,86.9,63.3,69.7,60.3
22-63769,Valentina Aquino,4,Cognate/Elective Course 1,72.5,76.6,71.0,66.7
22-63769,Valentina Aquino,4,Electronic Circuits: Devices and Analysis,76.7,76.5,66.1,72.6
22-63769,Valentina Aquino,4,Basic Occupational Health and Safety,82.4,78.3,76.2,70.7
22-63769,Valentina Aquino,4,Numerical Methods,92.2,77.1,72.6,65.9
22-63769,Valentina Aquino,4,Kontekstwalisadong Komunikasyon sa Filipino,72.2,68.6,67.6,68.5
22-63769,Valentina Aquino,5,Logic Circuits and Design,79.6,75.6,67.6,73.7
22-63769,Valentina Aquino,5,Data Structures and Algorithms,81.9,74.2,68.1,71.5
22-63769,Valentina Aquino,5,"Introduction to Networks, Data and Digital Communications (CISCO 1)",78.6,66.5,71.6,69.7
22-63769,Valentina Aquino,5,Fundamentals of Mixed Signals and Sensors,72.2,76.4,63.5,76.3
22-63769,Valentina Aquino,5,Feedback and Control Systems,87.5,76.1,76.6,60.0
22-63769,Valentina Aquino,5,Introduction to HDL,70.7,73.5,65.8,72.6
22-63769,Valentina Aquino,5,Research Methods,90.4,69.0,67.9,70.4
22-63769,Valentina Aquino,5,Filipino sa Iba't Ibang Disiplina,88.0,68.7,74.4,79.9
22-63769,Valentina Aquino,6,Microprocessors,67.7,67.6,69.7,65.2
22-63769,Valentina Aquino,6,Software Design,82.3,76.6,61.4,71.3
22-63769,Valentina Aquino,6,Routing and Switching (CISCO 2),74.0,82.8,68.3,64.4
22-63769,Valentina Aquino,6,Digital Signal Processing,83.3,82.2,77.1,60.3
22-63769,Valentina Aquino,6,Emerging Technologies in CpE,80.7,68.9,73.5,60.0
22-63769,Valentina Aquino,6,CpE Practice and Design 1,81.1,71.2,65.2,73.3
22-63769,Valentina Aquino,6,Cognate/Elective Course 2,78.9,71.5,80.8,65.5
22-63769,Valentina Aquino,7,Scaling Networks (CISCO 3),77.7,76.8,68.3,71.0
22-63769,Valentina Aquino,7,Operating Systems,74.3,72.7,80.2,61.9
22-63769,Valentina Aquino,7,Computer Architecture and Organization,63.2,85.0,87.5,65.9
22-63769,Valentina Aquino,7,Computer Engineering Drafting and Design,66.0,73.4,70.5,67.2
22-63769,Valentina Aquino,7,Connecting Networks and Security (CISCO 4),70.8,78.6,75.2,60.0
22-63769,Valentina Aquino,7,Embedded Systems,81.8,87.6,73.2,66.3
22-63769,Valentina Aquino,7,Seminars and Fieldtrips,77.5,79.7,62.5,70.0
22-63769,Valentina Aquino,7,Manufacturing and Quality Control,75.3,86.4,71.1,78.3
22-63769,Valentina Aquino,7,Cognate/Elective Course 3 (Data Mining / AI Track),70.8,78.7,74.0,63.0
22-63769,Valentina Aquino,7,ASEAN Literature,79.4,83.3,70.9,60.0
22-63769,Valentina Aquino,8,Technopreneurship,78.3,70.6,70.8,68.5
22-63769,Valentina Aquino,8,On-the-Job Training,68.1,66.3,75.8,65.8
22-63769,Valentina Aquino,8,CpE Practice and Design 2,63.0,80.7,74.5,64.7
22-72531,Luis Garcia,1,Introduction to Engineering,65.1,75.8,70.0,78.5
22-72531,Luis Garcia,1,Understanding the Self,75.5,73.1,66.9,69.1
22-72531,Luis Garcia,1,Mathematics in the Modern World,76.4,78.0,64.5,61.4
22-72531,Luis Garcia,1,Readings in Philippine History,70.1,75.5,76.9,61.5
22-72531,Luis Garcia,1,Purposive Communication,70.4,72.7,66.4,69.9
22-72531,Luis Garcia,1,Differential Calculus,60.0,65.5,62.9,60.0
22-72531,Luis Garcia,1,General Chemistry,66.9,65.0,66.4,70.6
22-72531,Luis Garcia,1,Computer Programming 1,71.1,64.2,67.2,70.2
22-72531,Luis Garcia,2,Engineering Drawing,67.9,66.0,71.9,63.5
22-72531,Luis Garcia,2,Contemporary World,76.9,70.7,72.1,60.0
22-72531,Luis Garcia,2,Art Appreciation,72.9,69.5,60.6,60.0
22-72531,Luis Garcia,2,"Science, Technology and Society",77.1,68.7,61.7,63.7
